,state,District,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,person,Male,Female,growthinpopulation,rural,urban,STPop,Personlit_rate,Mlit_Rate,Flit_Rate,Totalworkers,Mainworkers,Marginal workers,Nonworkers,Religion1,religion1 population,Religion2,Religion2 Population,religion3name,religion3poulation,inhabitadevillages,drinkingwater,electricity,primary school,Medical facility
68,haryana,kaithal,2001.0,33,15,16,0,16,9,8,1,9,19,0,105,0,946131,510513,435618,20.95,762649,853.0,-,59.02,69.15,47.31,372011,268127,103884,574120,1.Hindus,848765,2.Sikhs,88700,3.Muslims,6777,270.0,270.0,270.0,261.0,160
69,haryana,karnal,2001.0,42,24,44,0,44,31,10,21,18,28,2,97,0,1274183,683368,590815,23.13,936341,865.0,-,67.74,76.29,57.97,455455,355466,99989,818728,1.Hindus,1125279,2.Sikhs,123160,3.Muslims,22614,422.0,422.0,422.0,385.0,186
70,haryana,kurukshetra,2001.0,20,8,31,0,31,14,14,0,10,28,8,68,0,825454,442328,383126,23.72,609943,866.0,-,69.88,78.06,60.61,308392,250596,57796,517062,1.Hindus,675381,2.Sikhs,135545,3.Muslims,12028,407.0,402.0,406.0,385.0,179
71,haryana,mahendragarh,2001.0,26,10,11,0,11,13,8,5,8,19,0,23,0,812521,423578,388943,19.09,702885,918.0,-,69.89,84.72,54.08,351864,204704,147160,460657,1.Hindus,805991,2.Muslims,3434,3.Sikhs,2026,368.0,368.0,368.0,350.0,190
72,haryana,panipat,2001.0,43,26,38,0,38,19,10,9,11,16,11,92,0,967449,528860,438589,38.57,575369,829.0,-,69.17,78.5,57.97,382801,289013,93788,584648,1.Hindus,873593,2.Muslims,59696,3.Sikhs,27437,179.0,179.0,179.0,168.0,116
73,haryana,rewari,2001.0,21,13,11,0,11,13,11,2,12,17,0,14,0,765351,403034,362317,25.24,629177,899.0,-,75.25,88.45,60.83,333622,204855,128767,431729,1.Hindus,758328,2.Muslims,3194,3.Sikhs,1668,397.0,397.0,397.0,379.0,175
74,haryana,rohtak,2001.0,57,29,28,0,28,13,6,7,17,26,20,41,0,940128,509038,431090,20.99,610524,847.0,-,73.72,83.23,62.59,371073,288225,82848,569055,1.Hindus,924541,2.Muslims,5665,3.Sikhs,5079,146.0,146.0,146.0,130.0,118
75,haryana,sirsa,2001.0,37,33,17,0,17,18,7,11,12,23,0,98,0,1116649,593245,523404,22.96,823184,882.0,-,60.55,70.05,49.93,475571,363946,111625,641078,1.Hindus,801747,2.Sikhs,302942,3.Muslims,7056,321.0,321.0,318.0,312.0,197
76,haryana,sonipat,2001.0,73,49,15,0,15,26,12,14,18,22,14,51,0,1279175,695723,583452,22.36,957800,839.0,-,72.79,83.06,60.68,523031,383449,139582,756144,1.Hindus,1234225,2.Muslims,31954,3.Jains,6729,323.0,323.0,323.0,316.0,248
77,haryana,yamunanagar,2001.0,42,14,22,0,22,26,23,3,9,30,5,63,0,1041630,559444,482186,21.84,648608,862.0,-,71.63,78.82,63.39,336533,280728,55805,705097,1.Hindus,849255,2.Muslims,104073,3.Sikhs,83524,613.0,613.0,607.0,483.0,248
78,jharkhand,deoghar,2001.0,47,82,22,0,22,7,0,7,10,13,1,10,0,1165390,608878,556512,24.46,1005539,914.0,142717,50.09,66.38,31.99,432714,283711,149003,732676,1.Hindus,910409,2.Muslims,221705,3.Others,27263,2356.0,2356.0,289.0,768.0,94
79,jharkhand,dhanbad,2001.0,97,31,32,0,32,57,45,12,30,47,0,18,0,2397102,1278946,1118156,22.82,1141744,874.0,202729,67.0,79.54,52.43,664058,492501,171557,1733044,1.Hindus,1944757,2.Muslims,364807,3.Others,61505,1121.0,1121.0,503.0,708.0,154
80,jharkhand,dumka,2001.0,63,32,27,0,27,24,0,24,3,20,0,23,0,1759602,897364,862238,17.31,1644690,961.0,701903,47.94,62.86,32.35,778378,470354,308024,981224,1.Hindus,1323468,2.Muslims,203741,3.Others,170201,3737.0,3737.0,213.0,1732.0,312
